customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
6467-CHFZW,0,47,99.35,4749.15,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
8665-UTDHZ,0,1,30.2,30.2,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True
5248-YGIJN,0,72,90.25,6369.45,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False
8773-HHUOZ,0,17,64.7,1093.1,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True
3841-NFECX,1,71,96.35,6766.95,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False
4929-XIHVW,1,2,95.5,181.65,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False
6827-IEAUQ,0,27,66.15,1874.45,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False
7310-EGVHZ,0,1,20.2,20.2,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
3413-BMNZE,1,1,45.25,45.25,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
6234-RAAPL,0,72,99.9,7251.7,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False
6047-YHPVI,0,5,69.7,316.9,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
6572-ADKRS,0,46,74.8,3548.3,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
5380-WJKOV,0,34,106.35,3549.25,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
8168-UQWWF,0,11,97.85,1105.4,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True
8865-TNMNX,0,10,49.55,475.7,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
9489-DEDVP,0,70,69.2,4872.35,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False
9867-JCZSP,0,17,20.75,418.25,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
4671-VJLCL,0,63,79.85,4861.45,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False
4080-IIARD,0,13,76.2,981.45,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False
3714-NTNFO,0,49,84.5,3906.7,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False
5948-UJZLF,0,2,49.25,97.0,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
7760-OYPDY,0,2,80.65,144.15,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True
7639-LIAYI,0,52,79.75,4217.8,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False
2954-PIBKO,0,69,64.15,4254.1,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False
8012-SOUDQ,1,43,90.25,3838.75,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False
9420-LOJKX,0,15,99.1,1426.4,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True
6575-SUVOI,1,25,69.5,1752.65,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False
7495-OOKFY,1,8,80.65,633.3,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True
4667-QONEA,1,60,74.85,4456.35,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False
1658-BYGOY,1,18,95.45,1752.55,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
8769-KKTPH,0,63,99.65,6311.2,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False
5067-XJQFU,1,66,108.45,7076.35,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
3957-SQXML,0,34,24.95,894.3,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False
5954-BDFSG,0,72,107.5,7853.7,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False
0434-CSFON,0,47,100.5,4707.1,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False
1215-FIGMP,0,60,89.9,5450.7,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False
0526-SXDJP,0,72,42.1,2962.0,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
0557-ASKVU,0,18,54.4,957.1,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False
5698-BQJOH,0,9,94.4,857.25,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True
5122-CYFXA,0,3,75.3,244.1,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
8627-ZYGSZ,0,47,78.9,3650.35,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
3410-YOQBQ,0,31,79.2,2497.2,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False
3170-NMYVV,0,50,20.15,930.9,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
7410-OIEDU,0,10,79.85,887.35,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
2273-QCKXA,0,1,49.05,49.05,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False
0731-EBJQB,0,52,20.4,1090.65,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
1891-QRQSA,1,64,111.6,7099.0,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False
8028-PNXHQ,0,62,24.25,1424.6,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
5630-AHZIL,0,3,64.5,177.4,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False
2673-CXQEU,1,56,110.5,6139.5,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False
6416-JNVRK,0,46,55.65,2688.85,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False
5590-ZSKRV,0,8,54.65,482.25,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
0191-ZHSKZ,1,30,74.75,2111.3,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False
3887-PBQAO,0,45,25.9,1216.6,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False
5919-TMRGD,0,1,79.35,79.35,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True
8108-UXRQN,0,11,50.55,565.35,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False
9191-MYQKX,0,7,75.15,496.9,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
9919-YLNNG,0,42,103.8,4327.5,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False
0318-ZOPWS,0,49,20.15,973.35,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
4445-ZJNMU,0,9,99.3,918.75,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False
4808-YNLEU,0,35,62.15,2215.45,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False
1862-QRWPE,0,48,20.65,1057.0,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
2796-NNUFI,0,46,19.95,927.1,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
3016-KSVCP,0,29,33.75,1009.25,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False
4767-HZZHQ,0,30,82.05,2570.2,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
2424-WVHPL,1,1,74.7,74.7,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False
7233-PAHHL,0,66,84.0,5714.25,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
6067-NGCEU,0,65,111.05,7107.0,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False
9848-JQJTX,0,72,100.9,7459.05,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False
8637-XJIVR,0,12,78.95,927.35,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
9803-FTJCG,0,71,66.85,4748.7,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False
0278-YXOOG,0,5,21.05,113.85,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True
3212-KXOCR,0,52,21.0,1107.2,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
4598-XLKNJ,1,25,98.5,2514.5,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
6380-ARCEH,0,1,20.2,20.2,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
3679-XASPY,0,1,19.45,19.45,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
7123-WQUHX,0,38,95.0,3605.6,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False
5386-THSLQ,1,66,45.55,3027.25,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False
3192-NQECA,0,68,110.0,7611.85,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True
6180-YBIQI,0,5,24.3,100.2,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
6728-DKUCO,0,72,104.15,7303.05,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
9750-BOOHV,0,32,30.15,927.65,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
8597-CWYHH,0,43,94.35,3921.3,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False
2848-YXSMW,0,72,19.4,1363.25,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False
0486-HECZI,0,55,96.75,5238.9,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True
4549-ZDQYY,0,52,57.95,3042.25,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False
5712-AHQNN,0,43,91.65,3954.1,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False
4846-WHAFZ,1,37,76.5,2868.15,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
5256-SKJGO,0,64,54.6,3423.5,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False
3071-VBYPO,0,3,89.85,248.4,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False
9560-BBZXK,0,36,31.05,1126.35,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
5299-RULOA,0,10,100.25,1064.65,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
8402-OOOHJ,0,41,20.65,835.15,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False
9445-ZUEQE,0,27,85.2,2151.6,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False
1091-SOZGA,0,56,99.8,5515.45,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False
2928-HLDBA,0,6,20.7,112.75,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
0404-SWRVG,0,3,74.4,229.55,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
6497-TILVL,0,7,50.7,350.35,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
7219-TLZHO,0,4,20.85,62.9,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
4622-YNKIJ,0,33,88.95,3027.65,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False
4412-YLTKF,1,27,78.05,2135.5,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
6734-PSBAW,0,72,23.55,1723.95,False,True,False,True,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
3930-ZGWVE,0,1,19.75,19.75,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
2639-UGMAZ,1,71,56.45,3985.35,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
2876-GZYZC,0,13,85.95,1215.65,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False
6207-WIOLX,0,25,58.6,1502.65,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True
8587-XYZSF,0,67,50.55,3260.1,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False
3091-FYHKI,0,1,35.45,35.45,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True
2372-HWUHI,0,2,44.35,81.25,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True
7799-LGRDP,0,43,25.7,1188.2,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
7850-VWJUU,0,23,75.0,1778.5,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
3774-VBNXY,0,64,20.2,1277.75,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False
6217-KDYWC,0,57,19.6,1170.55,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0390-DCFDQ,1,1,70.45,70.45,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True
3146-MSEGF,1,72,88.05,6425.65,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False
4080-OGPJL,0,8,71.15,563.65,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,True
1095-WGNGG,0,61,101.05,5971.25,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False
2636-SJDOU,0,64,84.3,5289.05,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False
